Company,Sector
Publicis Groupe SA,French Communication Services
Warner Bros. Discovery,US Communication Services
Legrand SA,French Industrials
CGN Power Co. Ltd,Chinese Utilities
Ubiquiti Inc.,US Technology
"Williams-Sonoma, Inc.",US Consumer Discretionary
"Church & Dwight Co., Inc.",US Consumer Staples
VERBUND AG,Austria Utilities
NTT Data Corp,Japanese Technology
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",US Basic Materials
PTT PCL,Thai Energy
Hennes & Mauritz AB,Swedish Consumer Discretionary
"NetApp, Inc.",US Technology
Splunk Inc.,US Technology
Yihai Kerry Arawana Holdings Co. Ltd,Chinese Consumer Staples
"NVR, Inc.",US Consumer Discretionary
Erste Group Bank AG,Austria Financials
FUJIFILM Holdings Corp,Japanese Industrials
Transurban Group,Australian Industrials
"Tyler Technologies, Inc.",US Technology
China Tower Corp Ltd,Chinese Communication Services
CGI Inc.,Canadian Technology
"Sompo Holdings, Inc.",Japanese Financials
Sandvik AB,Swedish Industrials
"T. Rowe Price Group, Inc.",US Financials
Heidelberg Materials AG,German Basic Materials
LyondellBasell Industries N.V.,US Basic Materials
Danske Bank A-S,Danish Financials
Chocoladefabriken Lindt & Sprüngli AG,Swiss Consumer Staples
Komatsu Ltd,Japanese Industrials
"Ventas, Inc.",US Real Estate
"West Pharmaceutical Services, Inc.",US Healthcare
Ameren Corporation,US Utilities
Great Wall Motor Co Ltd,Chinese Consumer Discretionary
Koninklijke Philips N.V.,Dutch Healthcare
Sumitomo Corp,Japanese Industrials
DTE Energy Company,US Utilities
Sun Hung Kai Properties Ltd,HK Real Estate
Halliburton Company,US Energy
Huntington Bancshares Incorporated,US Financials
Bank of Jiangsu Co. Ltd,Chinese Financials
Techtronic Industries Company Ltd,HK Industrials
"Zoom Video Communications, Inc.",US Communication Services
Waters Corporation,US Healthcare
Hapag-Lloyd AG,German Industrials
"EMCOR Group, Inc.",US Industrials
"Dai-ichi Life Holdings, Inc.",Japanese Financials
"Cellnex Telecom, SA",Spanish Communication Services
Hubbell Incorporated,US Industrials
Société Générale SA,French Financials
Archer-Daniels-Midland Company,US Consumer Staples
Airports of Thailand Public Company Ltd,Thai Industrials
Cameco Corporation,Canadian Energy
Vonovia SE,German Real Estate
PPL Corporation,US Utilities
Inner Mongolia Yili Industrial Group Co. Ltd,Chinese Consumer Staples
Teledyne Technologies Incorporated,US Technology
ON Semiconductor Corporation,US Technology
Devon Energy Corporation,US Energy
GlobalFoundries Inc.,US Technology
"PulteGroup, Inc.",US Consumer Discretionary
Indian Railway Finance Corp Ltd,Indian Financials
FANUC Corp,Japanese Industrials
China Minsheng Banking Corp Ltd,Chinese Financials
BCE Inc.,Canadian Communication Services
"Rocket Companies, Inc.",US Financials
Lennox International Inc.,US Industrials
Banco do Brasil SA,Brazilian Financials
Vestas Wind Systems A-S,Danish Industrials
"American Water Works Company, Inc.",US Utilities
Advanced Info Service PCL,Thai Communication Services
Compagnie Générale des Etablissements Michelin SCA,French Consumer Discretionary
Marubeni Corp,Japanese Industrials
Panasonic Corp,Japanese Technology
"Pure Storage, Inc.",US Technology
"Rollins, Inc.",US Consumer Discretionary
"Naturgy Energy Group, SA",Spanish Utilities
Li Auto Inc.,Chinese Consumer Discretionary
SMC Corp,Japanese Industrials
"ASE Technology Holding Co., Ltd.",Taiwanese Technology
CTBC Financial Holding Co. Ltd,Taiwanese Financials
Brookfield Asset Management Ltd.,Canadian Financials
Swedbank AB,Swedish Financials
Western Digital Corporation,US Technology
Markel Corporation,US Financials
ORIX Corporation,Japanese Financials
"Telefónica, SA",Spanish Communication Services
"Endesa, SA",Spanish Utilities
Franco-Nevada Corporation,Canadian Basic Materials
FirstRand Ltd,South African Financials
Teck Resources Limited,Canadian Basic Materials
Toyota Industries Corp,Japanese Consumer Discretionary
CEZ AS,Czechia Utilities
Seagate Technology plc,Irish Technology
Hang Seng Bank Limited,HK Financials
Bridgestone Corp,Japanese Consumer Discretionary
China United Network Communications Ltd,Chinese Communication Services
Renesas Electronics Corp,Japanese Technology
STMicroelectronics N.V.,Swiss Technology
PTC Inc.,US Technology
"Expedia Group, Inc.",US Consumer Discretionary
BeiGene Ltd,Chinese Healthcare
"Natera, Inc.",US Healthcare
Formula One Group,US Communication Services
KB Financial Group Inc.,South Korean Financials
WSP Global Inc.,Canadian Industrials
FirstEnergy Corp.,US Utilities
Sungrow Power Supply Co. Ltd,Chinese Industrials
Commerzbank AG,German Financials
RWE AG,German Utilities
Riyad Bank,Saudi Arabian Financials
"NRG Energy, Inc.",US Utilities
Banco Santander (Brasil) SA,Brazilian Financials
First Republic Bank,US Financials
China Merchants Securities Co. Ltd,Chinese Financials
QNB Finans Finansal Kiralama AS,Turkish Financials
TDK Corp,Japanese Technology
"Pinterest, Inc.",US Communication Services
Vodafone Group plc,UK Communication Services
Edison International,US Utilities
Evolution Gaming Group AB,Swedish Consumer Discretionary
Talanx AG,German Financials
International Flavors & Fragrances Inc.,US Basic Materials
"Zimmer Biomet Holdings, Inc.",US Healthcare
"Shenzhen Inovance Technology Co.,Ltd",Chinese Industrials
Regions Financial Corporation,US Financials
Nutrien Ltd.,Canadian Basic Materials
SSE plc,UK Utilities
Hithink RoyalFlush Information Network Co. Ltd,Chinese Technology
WuXi AppTec Co. Ltd,Chinese Healthcare
Mitsui Fudosan Co. Ltd,Japanese Real Estate
Prudential plc,UK Financials
"Darden Restaurants, Inc.",US Consumer Discretionary
"FLEETCOR Technologies, Inc.",US Technology
Antofagasta plc,UK Basic Materials
Weyerhaeuser Company,US Real Estate
"Huaneng Lancang River Hydropower, Inc.",Chinese Utilities
Zebra Technologies Corporation,US Technology
W. R. Berkley Corporation,US Financials
Atmos Energy Corporation,US Utilities
Fortis Inc.,Canadian Utilities
NEC Corp,Japanese Technology
CSC Financial Co. Ltd,Chinese Financials
Epiroc AB,Swedish Industrials
Nokia Corporation,Finnish Technology
Check Point Software Technologies Ltd.,Israeli Technology
Fox Corporation,US Communication Services
"Contura Energy, Inc.",US Energy
Packaging Corporation of America,US Consumer Discretionary
"Teradyne, Inc.",US Technology
Sampo Oyj,Finnish Financials
Northern Trust Corporation,US Financials
WiseTech Global Limited,Australian Technology
STERIS plc,Irish Healthcare
Suzuki Motor Corp,Japanese Consumer Discretionary
"Leidos Holdings, Inc.",US Technology
Standard Bank Group Ltd,South African Financials
"Illumina, Inc.",US Healthcare
SBA Communications Corporation,US Real Estate
China Resources Land Ltd,HK Real Estate
Cincinnati Financial Corporation,US Financials
Bayer AG,German Healthcare
"CenterPoint Energy, Inc.",US Utilities
Aristocrat Leisure Limited,Australian Communication Services
"Cboe Global Markets, Inc.",US Financials
Pembina Pipeline Corporation,Canadian Energy
Tenaris SA,Luxembourg Energy
CLP Holdings Ltd,HK Utilities
Power Corporation of Canada,Canadian Financials
Swiss Life Holding AG,Swiss Financials
Biogen Inc.,US Healthcare
"Viela Bio, Inc.",US Healthcare
Veolia Environnement SA,French Industrials
"MongoDB, Inc.",US Technology
China Coal Energy Co Ltd,Chinese Energy
"Citizens Financial Group, Inc.",US Financials
Fresenius SE & Co KGaA,German Healthcare
Guotai Junan Securities Co. Ltd,Chinese Financials
China CSSC Holdings Ltd,Chinese Industrials
TELUS Corporation,Canadian Communication Services
"Ajinomoto Co., Inc.",Japanese Consumer Staples
China Molybdenum Co Ltd,Chinese Basic Materials
Sartorius Stedim Biotech SA,French Healthcare
STERIS Corp,US Healthcare
Eversource Energy,US Utilities
InterContinental Hotels Group plc,UK Consumer Discretionary
Capitec Bank Holdings Ltd,South African Financials
Telefonaktiebolaget LM Ericsson,Swedish Technology
Vedanta Limited,Indian Basic Materials
Klabin SA,Brazilian Basic Materials
Nidec Corp,Japanese Industrials
Baoshan Iron & Steel Co. Ltd,Chinese Basic Materials
Laboratory Corporation of America Holdings,US Healthcare
The Carlyle Group Inc.,US Financials
Fuyao Glass Industry Group Co. Ltd,Chinese Consumer Discretionary
International Paper Company,US Consumer Discretionary
Gulf Energy Development Public Company Ltd,Thai Utilities
"VeriSign, Inc.",US Technology
Banco Bradesco SA,Brazilian Financials
George Weston Limited,Canadian Consumer Staples
Aeon Co. Ltd,Japanese Consumer Discretionary
Straumann Holding AG,Swiss Healthcare
"McCormick & Company, Incorporated",US Consumer Staples
"DICK'S Sporting Goods, Inc.",US Consumer Discretionary
Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,Polish Financials
"Tyson Foods, Inc.",US Consumer Staples
The Clorox Company,US Consumer Staples
KE Holdings Inc.,Chinese Real Estate
Nippon Steel Corp,Japanese Basic Materials
"Watsco, Inc.",US Industrials
Atlantia SpA,Italian Industrials
East Japan Railway Company,Japanese Industrials
Erie Indemnity Company,US Financials
CK Hutchison Holdings Ltd,HK Industrials
"SS&C Technologies Holdings, Inc.",US Technology
CMS Energy Corporation,US Utilities
"Beijing Kingsoft Office Software, Inc.",Chinese Technology
Geberit AG,Swiss Industrials
"Builders FirstSource, Inc.",US Industrials
"Super Micro Computer, Inc.",US Technology
"Comfort Systems USA, Inc.",US Industrials
Sonova Holding AG,Swiss Healthcare
DraftKings Inc.,US Consumer Discretionary
Insulet Corporation,US Healthcare
Duke Realty Corporation,US Real Estate
"Ulta Beauty, Inc.",US Consumer Discretionary
"Hertz Global Holdings, Inc.",US Industrials
Z Holdings Corp,Japanese Consumer Discretionary
Grupo Financiero Banorte SAB de CV,Mexican Financials
KeyCorp,US Financials
Svenska Handelsbanken AB,Swedish Financials
MTU Aero Engines AG,German Industrials
Coterra Energy Inc.,US Energy
Kao Corp,Japanese Consumer Staples
ZTE Corp,Chinese Technology
MTR Corp Ltd,HK Industrials
Southwest Airlines Co.,US Industrials
"The Cooper Companies, Inc.",US Healthcare
Alinma Bank,Saudi Arabian Financials
Trimble Inc.,US Technology
Saudi Electricity Company,Saudi Arabian Utilities
Teva Pharmaceutical Industries Limited,Israeli Healthcare
Hydro One Limited,Canadian Utilities
Zhongji Innolight Co. Ltd,Chinese Industrials
SGS SA,Swiss Industrials
YPF Sociedad Anónima,Argentinian Energy
"Zillow Group, Inc.",US Communication Services
Sany Heavy Industry Co. Ltd,Chinese Industrials
"International Consolidated Airlines Group, SA",Spanish Industrials
"Principal Financial Group, Inc.",US Financials
Poste Italiane SpA,Italian Industrials
TransUnion,US Industrials
Open Orphan plc,UK Healthcare
Invitation Homes Inc.,US Real Estate
Jabil Inc.,US Technology
Loews Corporation,US Financials
ArcelorMittal,Luxembourg Basic Materials
Kaspi Bank Joint Stock Company,Kazakhstan Technology
"First Solar, Inc.",US Technology
"Steel Dynamics, Inc.",US Basic Materials
Sands China Ltd,Macao Consumer Discretionary
UPM-Kymmene Oyj,Finnish Basic Materials
"Burlington Stores, Inc.",US Consumer Discretionary
Prysmian S.p.A.,Italian Industrials
"Essex Property Trust, Inc.",US Real Estate
Rogers Communications Inc.,Canadian Communication Services
Daiwa House Industry Co Ltd,Japanese Real Estate
Geely Automobile Holdings Ltd,HK Consumer Discretionary
Snap-on Incorporated,US Industrials
Shanghai International Port,Chinese Industrials
Carlisle Companies Incorporated,US Industrials
"Best Buy Co., Inc.",US Consumer Discretionary
"DocuSign, Inc.",US Technology
China Railway Group Ltd,HK Industrials
Tencent Music Entertainment Group,Chinese Communication Services
Summit Therapeutics Inc.,US Healthcare
Ryanair Holdings plc,Irish Industrials
Royalty Pharma plc,US Healthcare
Haitong Securities Co. Ltd,Chinese Financials
Ivanhoe Mines Ltd.,Canadian Basic Materials
"American Campus Communities, Inc.",US Real Estate
Zhangzhou Pientzehuang Pharmaceutical. Ltd,Chinese Healthcare
China Communications Construction Co Ltd,Chinese Industrials
Alfa Laval AB,Swedish Industrials
Essity AB,Swedish Consumer Staples
AerCap Holdings N.V.,Irish Industrials
Air China Ltd,Chinese Industrials
"Mid-America Apartment Communities, Inc.",US Real Estate
Associated British Foods plc,UK Consumer Staples
Aier Eye Hospital Group Co. Ltd,Chinese Healthcare
Bank of Shanghai Co. Ltd,Chinese Financials
Will Semiconductor Co. Ltd,Chinese Technology
"SoFi Technologies, Inc.",US Financials
Snap Inc.,US Communication Services
Sprott Physical Gold Trust,Canadian Financials
AVIC Shenyang Aircraft Company Ltd,Chinese Industrials
CyberArk Software Ltd.,Israeli Technology
Galaxy Entertainment Group Ltd,HK Consumer Discretionary
Bank Leumi le- Israel B.M.,Israeli Financials
FactSet Research Systems Inc.,US Financials
Toyota Tsusho Corp,Japanese Basic Materials
Investment AB Latour,Swedish Financials
Brookfield Property Partners L.P.,Bermuda Real Estate
Shenwan Hongyuan Group Co. Ltd,Chinese Financials
"Affirm Holdings, Inc.",US Technology
Tata Motors Limited,Indian Consumer Discretionary
